name,A59,A79,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATB,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,E19,ECU,EGY,ERI,ESH,ESP,EST,ETH,F19,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,O19,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,S19,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,X1 ,X2 ,XX ,YEM,ZAF,ZMB,ZWE,_X 
A59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,322.471,0.0,0.0,62911.917,173131.86000000002,245822151.39699996,81907536.67999998,0.0,3.429,0.0,0.0,0.0,0.0,1859672.416,2116546.069,61749.617000000006,711.389,216239260.807,0.0,0.0,0.0,438467.665,501128.012,1013273.934,0.0,36809.433,0.0,31612.036,485.14,3386728.572,450489.952,172097170.17399997,0.0,27900.773,0.0,0.0,1230826.5349999997,0.0,63594877.173,0.0,24141270.119,777248.208,904900838.61,1654957.4879999997,676468.56,2426103.8059999994,4642337.39,261.716,1730541.437,190.824,64125.246,4581.415999999999,30683.984,258.863,0.0,31657.696,305694.70200000005,4150337.308,77258099.15300001,643056.012,9377.092,57405414.51400001,120773.906,7640216.055,0.0,492139.042,6645937.618,2.046,0.0,115118066.51099998,14872797.160999997,1787470.6919999998,0.0,2088347.454,0.0,0.0,121592787.65699998,0.0,0.0,1491842.317,206219222.998,843016.0420000001,3579101.1620000005,148964.80000000002,84861.358,0.0,0.0,174557.698,1042287.8630000002,0.0,0.0,25365.159,0.0,0.0,6491869.899000001,0.0,40596.188,1245381.238,19751.498,2079692.764,113550525.225,449487388.462,0.0,13139915.711,121017.813,20229.421,21439.109,4802962.013000001,89500372.22400002,471841.421,173049.05000000002,99150212.49,33799.464,1078584.731,0.0,39623.808,0.0,0.0,734564631.8730001,938267.602,10875.298,7609880.033,3667584.371,0.0,0.0,11665054.554,0.0,1596291.787,971387.878,34859946.161,104681.378,17580029.211000003,34203.356,0.0,0.0,19612614.100999992,589137.131,1397.674,22989.891,1321856.1380000005,8840583.006,0.0,0.0,0.0,3538103.4990000003,254222.508,0.0,152075.158,0.0,87828792.473,17010962.599000003,0.0,4344.7,0.0,3595437.053,26235.895,1842.578,470512091.03199995,46307920.168,1162.101,0.0,2587560.035,0.0,1564187.682,5472442.012999998,100686.074,0.0,75316.59799999998,253239.232,0.0,0.0,18065438.416,1401099.867,603598918.2019999,1286961.0850000002,0.0,0.0,3583069.747,3151391.8620000007,29839059.604999997,9839.048,1120036.2189999998,28330311.249000005,27356.367,976284.38,24949891.880999997,0.0,2144.665,0.0,159.003,0.0,0.0,16253.749,0.0,221075.43,0.0,1112001.3620000002,1011.552,712869.6749999999,464979.049,61196891.39899998,1466.602,0.0,0.0,0.0,682365.473,52009.089,44784971.89700001,51462189.972,0.0,15107.145,0.0,24631.417,0.0,210.851,4127265.734,87188613.004,59.776,583498.227,109936.947,3341029.595,1720.859,938577.478,324593362.309,0.0,0.0,0.0,18538.364,0.0,5269724.564,231.761,0.0,0.0,0.0,0.0,0.0,0.0,162353540.04099998,1009878.805,149047.953,388.489
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,8341.075,0.0,0.0,166980.32100000005,323533.63,166725.27099999995,27967.662000000004,198162.493,0.0,0.0,0.0,0.0,0.0,182720.247,6968573.469,0.0,14597.758,8961222.261,0.0,0.0,109.92,7418669.881000001,1065104.877,769.444,0.0,776078.197,0.0,429.903,0.0,0.0,0.0,279667.129,32862.86,2087.575,0.0,0.0,0.0,17263.697,614018.0519999999,0.0,26630419.263000004,53580.304,55131782.30099999,0.0,0.0,0.0,0.0,0.0,42527.007,0.0,1007.156,59249.316,4250297.072999999,0.0,0.0,0.0,2583.14,4089946.6100000017,93415196.99699996,0.0,30.708,1076549.504,663128.304,0.0,15219326.552999996,4371.342000000001,122060.97,0.0,0.0,1231489644.114,353294.243,11437.765,0.0,876904.158,19056.944,0.0,213446536.471,0.0,0.0,0.0,23501269.568,23557.296,0.0,0.0,0.0,0.0,0.0,0.0,272530.373,0.0,0.0,13564.308,0.0,1361.028,584648.699,0.0,87976.323,51941.971,15843.875999999998,700999.569,2432953.8859999995,3010758.5100000007,0.0,1981262.951,6859.507,0.0,6701.116,104583.67100000002,52445282.475,14968.624000000002,34228.438,6693862.0260000015,0.0,2119.275,0.0,1354181.461,0.0,0.0,3359193.3660000004,0.0,119996.12900000002,379.479,0.0,0.0,0.0,422213.682,0.0,3040376.8690000004,1718352.095,0.0,809.144,822102.9739999998,59040.109,62953.982,0.0,772394.7580000001,0.0,75488.066,5948.984,7931.636,591757.1810000001,0.0,21872.908,0.0,0.0,6407.895,0.0,150038.99300000002,23807.451,183907.47299999997,618.1600000000001,0.0,0.0,0.0,0.0,149331.484,0.0,14074174.958000006,178683.09599999996,9063.275,40075.584,42301.139,0.0,109.269,1307858.3619999995,874333.5250000001,0.0,118285.076,237142.955,0.0,370.556,12114557.945999997,2182.273,14622304.518,15796.573,0.0,709.331,203.126,3337862.6839999994,68167.69499999999,0.0,9245874.748999998,28665.153,0.0,0.0,269662.864,0.0,0.0,0.0,2104.873,9350.815,0.0,208.351,0.0,0.0,0.0,0.0,0.0,585478.367,240341.72,3498794.5989999995,0.0,0.0,0.0,1269.047,5638.4,2924.586,0.0,3019789.19,0.0,0.0,0.0,0.0,0.0,742.678,1507066.823999999,8773288.756000001,0.0,7939.375999999998,6665.9710000000005,339665.10899999994,0.0,165.148,246.479,505.451,0.0,0.0,54935.068,4243.14,7641679.244999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658242.4759999999,0.0,1548.889,126884.746
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,665.97,8275.169999999998,0.0,0.0,520900.51,3002.8,516804012.01,26342457.0,61027.35,0.0,0.0,0.0,0.0,2388.82,281101967.25,108151667.63,2750.19,0.0,399729216.7000001,14847.93,0.0,8181.33,10607573.710000005,25841707.19,70827935.53000002,5918.4,1188424.8900000004,0.0,749181.1999999998,441.28,0.0,950742736.35,8020881950.039998,36321.3,59.13,0.0,0.0,37.33,282.5,233358195.64000005,0.0,311042146.1500001,413321986.18,8657633962.359999,1084018.37,216359.56,246.43,27832196.72,0.0,259638916.45,12804.41,0.0,9483903.56,2620098.46,0.0,0.0,0.0,650363.66,100542955.0,1399993228.6100006,0.0,4236.7,100284128.23,3017228.56,68691465.54,0.0,190799597.98999995,315256980.00000006,573.59,0.0,593740738.2000002,6250565.29,189498.95,0.0,205693117.07,277.0,0.0,571311323.6399999,0.0,2.33,268873.34,359021790.23,805841.55,1132265.28,5.39,1451.96,828.01,0.0,56484422.32,22323668.829999994,286638.0,0.0,1492037.2900000005,0.0,2784.05,5110021.64,0.0,699837.98,2235961.47,75582.25,99253730.47,193672547.8,961759001.94,0.0,195372309.02,986448.18,48692.8,510045.36,87996966.35000001,786821934.84,30189479.93,567493.74,576791141.37,27975804.0,199605.75000000003,84241.54,10651911.729999997,0.0,23936.13,355294406.88,79970502.9,250519.78000000003,96935.22,0.0,211.81,1057.72,8126862.31,6637.93,14263165.290000005,6277238.670000001,2202725.68,288928.16000000003,298855944.0000002,1741217.9900000005,891244.8899999999,79747.28,871903487.6300001,0.0,357263.4700000001,697.6,532239.2999999999,2540655.87,20094.08,1248.87,0.0,0.0,1141.37,0.0,269597.02,303912.91,187847952.15000007,857.81,0.0,4541.13,0.0,58070006.75000001,220752.75,0.0,457564175.69000006,24398047.27,10846.38,0.0,10996585.51,0.0,44490564.25999999,33286859.6,464438.59,0.0,132722146.91999996,65025955.470000006,0.0,43992.56,114669669.47,0.0,114033655.59999996,1185960996.36,68737.2,0.0,90537918.06,50682459.88999999,181499118.18,168.65,305641889.03000003,653609681.4899999,192358.56,596.61,59087667.93999999,0.0,0.0,106.69,45517.54,235157.64999999997,337538.1500000001,716557.73,0.0,12621041.990000002,0.0,0.0,0.0,32471957.839999992,14479588.470000004,125628782.4,6692.26,0.0,16997.85,671.68,0.0,0.0,0.0,907772260.65,0.0,0.0,50234993.77,0.0,0.0,28960937.73,12846745.179999998,232997608.31,0.0,1584.15,24974.61,9881259.59,0.0,701578395.4300001,5215226011.61,278896.24999999994,0.0,0.0,2016615.75,0.0,756910448.95,0.0,0.0,25.08,0.0,25498613.399999995,0.0,12463.87,90944215.93,0.0,388.6,454948239.25
ARM,0.0,0.0,149.4,2807.6399999999994,6031535.11,412519.35,1433931.0499999998,4579.87,58650926.52,7975291.48,0.0,0.0,0.0,0.0,0.0,6.19,5984133.030000001,43324521.800000004,0.0,0.0,50674906.13999999,0.0,0.0,0.0,19242587.28,23032982.99000001,89816.93,5895.05,592454.15,195.36,110579361.19,374.37,0.0,182836.73,84002671.14999999,51931.46000000001,16.79,10406.63,0.0,0.0,0.0,42333744.39999999,0.0,46522856.52000002,7731433.159999998,1328741027.4000006,2151427.64,318912.23,2668.07,183.01,0.0,1248905.16,0.0,844.22,3564525.0100000016,278859.31000000006,0.0,0.0,610.71,501152.75,36513829.559999995,399669000.01,0.0,1224.22,10827548.450000005,250188.35,182634.91,39588465.03000001,21895855.20999999,24629404.45000001,78.17,0.0,85438915.07,2627653.41,1101860.98,0.0,27553155.06,14978.29,745.56,112238192.91,148171.13,0.0,0.0,75746493.64999999,144248545.64800003,992291.84,0.0,503.79,53.36,0.0,0.0,80147217.0,18.96,575952.4099999999,174446.66000000003,53.27,114.42,2681298.22,0.0,134410.09,1009046.1799999998,401.49,25045258.16,42450601.63,258955531.68,115.58,16484705.789999995,598959228.563,363804.5,1040150.25,17596864.98,277564846.58,13820.43,2479712.500000001,192809905.65000007,23458274.48,446416.56000000006,990350.39,6160504.19,0.0,0.0,94256761.41,142753.85,479849.42,1479882.99,0.0,0.0,0.0,4657950.09,3922.960000000001,8250534.129999998,1007751.38,5160725.359999999,12055.03,5337866.049999999,3457387.359999999,357070.30999999994,4830.27,59619385.97999997,3170.58,1762953.6700000002,936.67,268932.50000000006,3642440.44,166263.93000000002,9440.56,0.0,183698.1,597250.8999999999,0.0,815251.83,79741.01,26867319.979999997,207.17,384.18,0.0,0.0,1704296.77,153618.59,12258.98,53407612.36999999,4954694.870000001,28767.8,0.0,15609736.350000003,0.0,243159.75,8389649.6,58677.09,0.0,2119165.4599999995,9494069.06,0.0,43813.42,76088671.35,99345.22,12142924.319999997,742957.94,140274.96,871.5199999999999,288629.03,28963276.72,2622280502.83,107573.94,0.0,3044009.31,169593.02999999997,2370712.12,4367687.539999999,0.0,0.0,454.04,110981.27,294837.4499999999,453259.9600000001,13044.54,0.0,12376361.02,0.0,617.42,1290.54,14937763.99,15026092.539999995,31213926.39,2909.0,0.0,0.0,1124066.59,0.0,31.96,0.0,54510337.1,128105.02000000002,0.0,5604799.02,26.58,0.0,1566.71,2679868.06,262051473.6800001,251.95,1061002.4799999995,1028197.74,83755388.97000001,3840.18,116584.99,355947739.1500001,23770498.630000003,0.0,0.0,4432.14,4095.48,175681293.88999996,0.0,0.86,0.0,0.0,0.0,0.0,1403.07,10665969.69,249100.64,5432585.5,130396816.69
